AVG,OBP,SLG,OPS,BB%,K%,ISO,LD%,Pull%,EV,LA,Barrel%,HardHit%,maxEV,Contact%,HR,R,RBI
0.271,0.350609756,0.5,0.850609756,0.094512195,0.19207317,0.229310345,0.179824561,0.41137856,93.11866415,12.44827653,0.12691466,0.54704595,115.043,0.75979305,33,90,100
0.271,0.32072072,0.429411764,0.750132484,0.055855855,0.172972972,0.158823529,0.181384248,0.35322196,90.75902609,7.458743197,0.07875895,0.48448687,112.073,0.80835882,17,60,76
0.271,0.341653666,0.439790575,0.781444241,0.090483619,0.232449297,0.169284467,0.201405152,0.42523364,89.67401743,10.89121024,0.06542056,0.40186916,113.901,0.75774424,17,72,72
0.270,0.350515463,0.410505836,0.761021299,0.092783505,0.156357388,0.140077821,0.220657276,0.38732394,87.60819212,10.20232495,0.07042254,0.38262911,109.82,0.81287129,13,76,78
0.270,0.333333333,0.377777777,0.71111111,0.060185185,0.100308641,0.107692307,0.2007722,0.41254753,86.01042674,14.37124675,0.01330798,0.26996198,109.048,0.87781629,10,75,55
0.270,0.338526912,0.449206349,0.787733261,0.083569405,0.188385269,0.17936508,0.178926441,0.43253968,89.29817449,13.82195534,0.08333333,0.41071429,110.683,0.78962963,26,98,107
0.269,0.339593114,0.533216783,0.872809897,0.086071987,0.162754303,0.263986014,0.186440677,0.45338983,90.51895656,18.59156158,0.09745763,0.4470339,109.01,0.8488806,35,117,82
0.269,0.336879432,0.394891944,0.731771376,0.084955752,0.175221238,0.125736738,0.187347931,0.30750605,90.54931641,3.297584982,0.05811138,0.46973366,112.478,0.78813559,12,53,65
0.269,0.376190476,0.458646616,0.834837092,0.112519809,0.223454833,0.189849624,0.225316455,0.50757576,87.63173457,13.1145001,0.0959596,0.38131313,110.204,0.77184466,21,98,69
0.269,0.322981366,0.50340136,0.826382726,0.069875776,0.183229813,0.234693878,0.231263383,0.52731092,89.35806176,19.30024383,0.10084034,0.36764706,109.95,0.81566069,33,97,98
